x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18
1.138E+00,3E+00,2.89964E+02,1.349489E+03,6.67738E+03,7.584E+00,7.584E+00,4.64006E+02,2.88E+02,5.50563E+02,1.096E+00,9.98E-01,5.947E+00,1.019E+00,7.137E+00,8.2E-02,9.5E-01,9.75E-01
2.088E+00,6E+00,6.96018E+03,1.376166E+03,6.828469E+03,2.8204E+01,2.8204E+01,6.35401E+02,2.88E+02,5.81658E+02,1.331E+00,9.98E-01,7.282E+00,1.019E+00,1.0655E+01,2.87E-01,9.5E-01,9.75E-01
3.144E+00,9E+00,8.379229E+03,1.386757E+03,7.111811E+03,6.0358E+01,6.0358E+01,6.06002E+02,2.88E+02,5.87587E+02,1.389E+00,9.98E-01,7.574E+00,1.02E+00,1.3086E+01,2.59E-01,9.5E-01,9.75E-01
4.161E+00,1.2E+01,1.4724395E+04,1.547465E+03,7.79263E+03,1.13774E+02,1.13774E+02,6.61471E+02,2.88E+02,6.13851E+02,1.658E+00,9.98E-01,9.007E+00,1.022E+00,1.8109E+01,3.58E-01,9.5E-01,9.75E-01
5.14E+00,1.5E+01,2.1636432E+04,1.924313E+03,8.494777E+03,1.75306E+02,1.75306E+02,7.31494E+02,2.88E+02,6.45642E+02,2.078E+00,9.98E-01,1.1197E+01,1.026E+00,2.6373E+01,5.22E-01,9.5E-01,9.75E-01
6.175E+00,1.8E+01,2.9792731E+04,2.307404E+03,8.82836E+03,2.46278E+02,2.46278E+02,8.00434E+02,2.88E+02,6.76397E+02,2.501E+00,9.98E-01,1.3356E+01,1.03E+00,3.576E+01,7.08E-01,9.5E-01,9.75E-01
7.148E+00,2.1E+01,3.898218E+04,2.678086E+03,9.132429E+03,3.32077E+02,3.32077E+02,8.54747E+02,2.88E+02,6.99954E+02,2.963E+00,9.98E-01,1.5679E+01,1.035E+00,4.5881E+01,9.08E-01,9.5E-01,9.75E-01
8.206E+00,2.4E+01,5.0996808E+04,3.087561E+03,9.318562E+03,4.37989E+02,4.37989E+02,9.52122E+02,2.88E+02,7.4177E+02,3.576E+00,9.98E-01,1.8632E+01,1.04E+00,6.244E+01,1.236E+00,9.5E-01,9.75E-01
9.3E+00,2.7E+01,7.2763329E+04,3.560395E+03,9.778528E+03,6.44905E+02,6.44905E+02,1.115797E+03,2.88E+02,7.89094E+02,4.498E+00,9.98E-01,2.2811E+01,1.049E+00,9.2556E+01,1.832E+00,9.5E-01,9.75E-01
1.138E+00,3E+00,3.7988E+02,1.355375E+03,6.683916E+03,7.915E+00,7.915E+00,4.64017E+02,2.88E+02,5.50985E+02,1.1E+00,9.98E-01,5.963E+00,1.019E+00,3.879E+00,7.9E-02,9.5E-01,9.76E-01
2.088E+00,6E+00,6.969176E+03,1.37194E+03,6.828438E+03,2.7424E+01,2.7424E+01,6.3596E+02,2.88E+02,5.8144E+02,1.33E+00,9.98E-01,7.272E+00,1.019E+00,1.2785E+01,2.89E-01,9.5E-01,9.76E-01
3.144E+00,9E+00,8.379307E+03,1.386758E+03,7.114396E+03,6.0353E+01,6.0353E+01,6.05169E+02,2.88E+02,5.87437E+02,1.389E+00,9.98E-01,7.567E+00,1.02E+00,1.3052E+01,2.58E-01,9.5E-01,9.76E-01
4.161E+00,1.2E+01,1.4724544E+04,1.547466E+03,7.794646E+03,1.13795E+02,1.13795E+02,6.60568E+02,2.88E+02,6.13688E+02,1.657E+00,9.98E-01,8.998E+00,1.022E+00,1.8066E+01,3.58E-01,9.5E-01,9.76E-01
5.14E+00,1.5E+01,2.1636777E+04,1.924313E+03,8.495697E+03,1.75314E+02,1.75314E+02,7.30495E+02,2.88E+02,6.45457E+02,2.078E+00,9.98E-01,1.1185E+01,1.026E+00,2.6316E+01,5.21E-01,9.5E-01,9.76E-01
6.175E+00,1.8E+01,2.9792983E+04,2.307388E+03,8.829394E+03,2.46295E+02,2.46295E+02,7.99298E+02,2.88E+02,6.7617E+02,2.501E+00,9.98E-01,1.3342E+01,1.03E+00,3.5687E+01,7.07E-01,9.5E-01,9.76E-01
7.148E+00,2.1E+01,3.8981896E+04,2.678086E+03,9.132932E+03,3.32208E+02,3.32208E+02,8.53701E+02,2.88E+02,6.99779E+02,2.963E+00,9.98E-01,1.5661E+01,1.035E+00,4.5799E+01,9.07E-01,9.5E-01,9.76E-01
8.206E+00,2.4E+01,5.0997234E+04,3.087583E+03,9.318935E+03,4.38098E+02,4.38098E+02,9.51073E+02,2.88E+02,7.41605E+02,3.575E+00,9.98E-01,1.8611E+01,1.04E+00,6.2342E+01,1.234E+00,9.5E-01,9.76E-01
9.3E+00,2.7E+01,7.2763515E+04,3.560401E+03,9.779311E+03,6.44963E+02,6.44963E+02,1.114887E+03,2.88E+02,7.88949E+02,4.496E+00,9.98E-01,2.2784E+01,1.049E+00,9.2448E+01,1.83E+00,9.5E-01,9.76E-01
1.138E+00,3E+00,7.53021E+02,1.371886E+03,6.697838E+03,8.858E+00,8.858E+00,4.73665E+02,2.88E+02,5.53143E+02,1.117E+00,9.98E-01,6.047E+00,1.019E+00,0E+00,8.8E-02,9.5E-01,9.77E-01
2.088E+00,6E+00,6.961726E+03,1.371057E+03,6.830364E+03,2.7259E+01,2.7259E+01,6.35133E+02,2.88E+02,5.81244E+02,1.33E+00,9.98E-01,7.262E+00,1.019E+00,1.3192E+01,2.89E-01,9.5E-01,9.77E-01
