theta1,theta2,theta3,theta4,theta5,theta6,theta7,theta8,y
-1.5119208E-02,3.6074091E-01,4.6939777E-01,1.3096745E+00,9.8802387E-01,-2.5492554E-02,6.6407094E-01,6.2762996E-02,5.3652416E-01
3.6047801E-01,-3.0139478E-01,6.2918307E-01,-1.4401463E+00,-7.4163685E-01,-1.1967495E+00,-1.0384439E+00,-7.174612E-01,3.080143E-01
1.5632379E+00,-1.2947529E+00,7.8987171E-02,1.4329368E+00,1.1491364E+00,-1.2921402E+00,1.5629882E+00,-9.3773069E-01,5.1889978E-01
1.9948468E-01,9.0115659E-01,-1.3563042E+00,-8.0524638E-02,-9.7662848E-01,8.2989378E-01,-8.5564902E-01,9.3062954E-01,4.9415079E-01
6.5973667E-01,1.2055156E-01,-8.7562194E-03,6.4883889E-01,6.2683171E-01,-6.4653937E-01,1.3180738E+00,-8.991723E-01,4.7021765E-01
1.5136662E+00,-2.1721217E-01,4.8907586E-01,5.6705131E-01,1.4003115E+00,3.8172143E-01,1.4959806E+00,-1.3281023E+00,2.8517032E-01
-4.2916947E-01,-1.5432012E-01,1.4916375E+00,-1.1607759E+00,1.3649491E+00,4.5987858E-01,7.8013127E-01,-4.0000056E-01,5.2743972E-01
4.5435426E-02,1.2972702E+00,4.172363E-02,1.2943647E-01,7.8913725E-01,8.6135091E-01,-1.3414275E+00,1.9887659E-01,1.1177628E+00
2.2619045E-01,5.6802604E-01,6.7388457E-01,1.4566167E+00,-7.7444761E-01,2.6581168E-01,-1.3026241E+00,-1.3569806E-01,5.745679E-01
2.5574014E-01,-4.8646636E-01,5.3642514E-01,-1.0744508E+00,-5.225387E-01,1.5208582E-01,5.5605189E-01,1.1900247E-01,7.9019284E-01
5.2576581E-01,1.5255593E+00,-6.7358732E-01,-4.195961E-01,-1.5565182E+00,-1.1500165E+00,-6.7409671E-01,-1.1199496E+00,6.7938934E-01
-7.5409541E-01,1.5374519E+00,1.3178684E+00,7.2393068E-01,-3.6011512E-01,-1.2494858E+00,-9.6025625E-01,1.4309194E+00,5.7751391E-01
-8.967911E-01,3.551291E-01,1.1862098E+00,-2.8548339E-01,1.3942862E+00,1.4385891E+00,-6.6534825E-01,5.706901E-01,5.4140341E-01
9.9347572E-01,-3.7127026E-01,8.1449761E-02,-9.0731517E-01,6.2903747E-01,6.693608E-01,1.5617882E+00,3.0619354E-01,6.2963212E-01
-2.1854018E-01,-7.3622589E-01,-8.0825886E-01,4.4664244E-02,7.7353236E-01,-9.6277706E-02,9.6804199E-01,2.6606137E-01,1.2299687E+00
-4.8304739E-01,9.8492065E-01,-1.6008452E-01,-1.6868901E-01,8.479473E-01,-2.1918561E-01,-4.2659888E-01,1.2071212E+00,9.4067874E-01
-7.0202732E-01,5.0975332E-01,-1.337229E+00,-1.439567E+00,1.1860183E+00,1.2356681E+00,-7.3290792E-01,-3.1971355E-01,1.3044195E+00
8.4890688E-01,3.0083374E-01,1.4616293E-01,-1.3981803E+00,4.0777898E-03,-1.1944747E+00,2.0142198E-01,-1.3022388E+00,6.1655412E-01
-1.5359397E+00,1.2900445E+00,-1.6501629E-01,-1.0376638E-01,-5.7962538E-01,-7.5990029E-01,-1.3377046E+00,7.4890609E-01,6.3863788E-01
-7.13515E-02,-1.4938764E+00,5.9745815E-01,-4.1770934E-01,3.1498155E-01,-1.0700519E+00,-1.5633567E+00,-1.4971342E+00,6.2526404E-01
8.8373901E-01,2.7981876E-02,9.4892602E-01,1.0187642E+00,3.1125447E-01,1.2560535E+00,9.4559753E-01,-1.3189854E+00,3.7683645E-01
